Application,Process,SubProcess,BusRole,Business Role Description,Standard Activity,Type,System,Platform,Entitlement Description,Entitlement Value,Authorization Object,Field-Level Security Name,Field-Level Security Value,4th Level Security Name,4th Level Security Value,Additional Comments,
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,14-UP.NY/E.PA,CIN1S1,DEPTACCESS,XXUSER,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:14-UP.NY/E.PA&AMM&BASIS20&XXUSER&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,15-NEW YORK,MANYC1A4,DEPTACCESS,AMSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_MANYC1A4:15-NEW YORK&AMM&BASIS20&AMSPEC&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,15-NEW YORK,MANYC1A4,DEPTACCESS,HHNSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_MANYC1A4:15-NEW YORK&AMM&BASIS20&HHNSPEC&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,15-NEW YORK,MANYC1A4,DEPTACCESS,HHSSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_MANYC1A4:15-NEW YORK&AMM&BASIS20&HHSSPEC&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,15-NEW YORK,MANYC1A4,DEPTACCESS,OESAMP,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_MANYC1A4:15-NEW YORK&AMM&BASIS20&OESAMP&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,15-NEW YORK,MANYC1A4,DEPTACCESS,OEUSER,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_MANYC1A4:15-NEW YORK&AMM&BASIS20&OEUSER&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,15-NEW YORK,MANYC1A4,DEPTACCESS,OMSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_MANYC1A4:15-NEW YORK&AMM&BASIS20&OMSPEC&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,15-NEW YORK,MANYC1A4,DEPTACCESS,SMINQ,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_MANYC1A4:15-NEW YORK&AMM&BASIS20&SMINQ&*ALL
PAT,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Promotion Control,N/A,DIVISION_DESC,CENTRAL,,,,PRIV:PAT_PRODUCTION:CENTRAL&Promotion Control
PAT,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Promotion Control,N/A,DIVISION_DESC,EAST,,,,PRIV:PAT_PRODUCTION:EAST&Promotion Control
PAT,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Promotion Control,N/A,DIVISION_DESC,SOUTH,,,,PRIV:PAT_PRODUCTION:SOUTH&Promotion Control
PAT,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Promotion Control,N/A,DIVISION_DESC,WEST,,,,PRIV:PAT_PRODUCTION:WEST&Promotion Control
PAT,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Promotion Control,N/A,DIVISION_DESC,CANADA,,, ,PRIV:PAT_PRODUCTION:CANADA&Promotion Control
PAT,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Author,N/A,DIVISION_DESC,CENTRAL,,,Add an entitlement,PRIV:PAT_PRODUCTION:CENTRAL&Author
PAT,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Author,N/A,DIVISION_DESC,EAST,,,Add an entitlement,PRIV:PAT_PRODUCTION:EAST&Author
PAT,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Author,N/A,DIVISION_DESC,SOUTH,,,Add an entitlement,PRIV:PAT_PRODUCTION:SOUTH&Author
PAT,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Author,N/A,DIVISION_DESC,WEST,,,Add an entitlement,PRIV:PAT_PRODUCTION:WEST&Author
